# REFERENCES: (1) Pryor & Meylan 1993 (in case of multiple choice, mean values are assumed);
#             (2) Hesser, Shawl, & Meyer 1986;
#             (3) Suntzeff, Olszewski, & Stetson 1985;
#             (4) Zaritsky et al. 1989;
#             (5) Geisler et al. 1995;
#             (6) Da Costa, Armandroff, & Norris 1992;
#             (7) Cannon 1993;
#             (8) Schweitzer, Cudworth, & Majewski 1993;
#             (9) Peterson, Rees, & Cudworth 1995;
#            (10) Webbink 1981;
#            (11) Peterson, & Cudworth 1994;
#            (12) Zinn & West 1984;
#            (13) Da Costa & Armandroff 1995;
#            (14) Peterson, Seitzer, & Cudworth 1989;
#            (15) Armandroff & Da Costa 1991;
#            (16) Kulessa & McDowell 1985.
#     Name     (deg)   (deg)   (kpc)  (kpc)    c     (pc)   (pc)     (Msun)    (km/s)     Refs
# id, name,  l, b, D, R, Rc, Rt, c, M,  Vr, ref
 11,  NGC 2298,   245.63,  -16.01 ,  10.0  ,  15.5   ,1.28  , 1.00  , 19.1   , 7.20e+04  ,  150.4    ,    5
 12,  NGC 2419,   180.37,   25.24 ,  83.2  ,  91.0   ,1.40  , 8.51  , 213.8  , 1.60e+06  ,  -20.0    ,    1
 13,  NGC 2808,   282.19,  -11.25 ,   9.1  ,  11.1   ,1.77  , 0.71  , 41.8   , 1.32e+06  ,   98.0    ,    2
 14,  Pal 3   ,   240.14,   41.86 ,  90.3  ,  93.8   ,1.00  ,12.59  , 125.9  , 6.38e+04  ,   84.0    ,    2
 15,  NGC 3201,   277.23,   8.64  ,   5.1  ,  9.3    ,1.31  , 2.09  , 42.7   , 1.95e+05  ,  494.6    ,    1
 16,  Pal 4   ,   202.31,   71.80 ,  98.2  , 101.0   ,0.78  ,15.85  , 95.5   , 5.41e+04  ,   75.0    ,    2
 17,  NGC 4147,   252.85,   77.19 ,  18.7  ,  21.0   ,1.80  , 0.55  , 34.7   , 6.69e+04  ,  183.0    ,    1
 18,  NGC 4372,   300.99,   -9.88 ,   5.2  ,  7.4    ,1.30  , 2.63  , 52.5   , 3.20e+05  ,   49.0    ,    2
 19,  Rup 106 ,   300.89,   11.67 ,  19.7  ,  17.1   ,0.70  , 5.75  , 28.8   , 8.42e+04  ,  -44.0    ,    6
 20,  NGC 4590,   299.63,   36.05 ,   9.3  ,  9.8    ,1.64  , 1.86  , 81.2   , 3.06e+05  ,  -95.1    ,    1
 21,  NGC 4833,   303.61,   -8.01 ,   5.8  ,  7.2    ,1.25  , 1.70  , 30.2   , 9.49e+04  ,  194.0    ,    2
 22,  NGC 5024,   332.96,   79.77 ,  18.5  ,  19.1   ,1.78  , 2.00  , 120.5  , 7.33e+05  ,  -80.0    ,    2
 23,  NGC 5053,   335.69,   78.94 ,  16.1  ,  16.9   ,0.82  ,10.47  , 69.2   , 1.66e+05  ,   42.8    ,    1
 24,  NGC 5139,   309.10,   14.97 ,   4.9  ,  6.8    ,1.24  , 3.72  , 64.6   , 2.64e+06  ,  232.2    ,    1
 25,  NGC 5272,   42.21 ,   78.71 ,  10.2  ,  12.3   ,1.85  , 1.48  , 104.8  , 7.82e+05  ,  -146.7   ,    1
 26,  NGC 5286,   311.61,   10.57 ,   9.3  ,  7.4    ,1.46  , 0.78  , 22.5   , 4.80e+05  ,   57.1    ,    1
 27,  NGC 5466,   42.15 ,   73.59 ,  15.8  ,  16.3   ,1.43  , 8.91  , 239.8  , 1.33e+05  ,  107.2    ,    1
 28,  NGC 5634,   342.21,   49.26 ,  25.1  ,  20.9   ,1.60  , 1.51  , 60.1   , 2.86e+05  ,  -41.9    ,    2
 29,  NGC 5694,   331.06,   30.36 ,  32.8  ,  27.0   ,1.84  , 0.59  , 40.8   , 2.92e+05  ,  -142.8   ,    1
 30,  IC 4499 ,   307.35,  -20.47 ,  18.9  ,  15.7   ,1.11  , 5.37  , 69.2   , 1.66e+05  ,   41.0    ,    7
 31,  NGC 5824,   332.56,   22.07 ,  32.7  ,  26.2   ,2.45  , 0.52  , 146.6  , 8.98e+05  ,  -26.1    ,    1
 32,  Pal 5   ,    0.85 ,   45.86 ,  23.1  ,  18.3   ,0.74  ,19.50  , 107.2  , 2.84e+04  ,  -56.0    ,    8
 33,  NGC 5897,   342.95,   30.29 ,  12.5  ,  7.3    ,0.79  , 7.24  , 44.6   , 2.00e+05  ,  102.9    ,    3
 34,  NGC 5904,    3.86 ,   46.80 ,   7.5  ,  6.5    ,1.87  , 0.89  , 66.0   , 8.34e+05  ,   53.9    ,    1
 35,  NGC 5927,   326.60,   4.86  ,   8.0  ,  4.8    ,1.60  , 0.98  , 39.0   , 3.71e+05  ,  -106.0   ,    2
 36,  NGC 5946,   327.58,   4.19  ,  10.4  ,  5.6    ,2.50  , 0.23  , 72.7   , 5.66e+05  ,  129.0    ,    1
 37,  NGC 5986,   337.02,   13.27 ,  10.2  ,  4.6    ,1.22  , 1.91  , 31.7   , 4.98e+05  ,   94.0    ,    2
 38,  Pal 14  ,   28.75 ,   42.18 ,  73.0  ,  67.7   ,0.72  ,23.44  , 123.0  , 2.00e+04  ,   72.0    ,    4
 39,  NGC 6093,   352.67,   19.46 ,   8.5  ,  3.1    ,1.95  , 0.36  , 32.1   , 3.67e+05  ,   7.7     ,    1
 40,  NGC 6101,   317.75,  -15.82 ,  14.9  ,  10.7   ,0.80  , 5.01  , 31.6   , 1.32e+05  ,  364.3    ,    5
 41,  NGC 6121,   350.97,   15.97 ,   2.0  ,  6.6    ,1.59  , 0.49  , 19.1   , 2.25e+05  ,   70.9    ,    2
 42,  NGC 6144,   351.93,   15.70 ,   9.9  ,  3.2    ,1.30  , 2.69  , 53.7   , 1.52e+05  ,  162.0    ,    2
 43,  NGC 6139,   342.37,   6.94  ,   9.1  ,  3.0    ,1.80  , 0.35  , 22.1   , 4.18e+05  ,   4.0     ,    2
 44,  NGC 6171,    3.37 ,   23.01 ,   6.4  ,  3.6    ,1.51  , 1.00  , 32.4   , 2.04e+05  ,  -34.0    ,    1
 45,  NGC 6205,   59.01 ,   40.91 ,   7.1  ,  8.7    ,1.49  , 1.82  , 56.2   , 6.27e+05  ,  -246.4   ,    1
 46,  NGC 6218,   15.72 ,   26.31 ,   5.5  ,  4.7    ,1.38  , 1.07  , 25.7   , 4.93e+05  ,  -42.6    ,    1
 47,  NGC 6229,   73.64 ,   40.31 ,  31.6  ,  30.9   ,1.61  , 1.23  , 50.1   , 4.46e+05  ,  -154.2   ,   10
 48,  NGC 6235,   358.92,   13.52 ,   9.6  ,  2.4    ,1.33  , 1.00  , 21.4   , 1.71e+05  ,   86.0    ,    2
 49,  NGC 6254,   15.14 ,   23.08 ,   4.3  ,  5.1    ,1.40  , 1.07  , 26.9   , 2.25e+05  ,   75.5    ,    1
 50,  NGC 6256,   347.79,   3.31  ,  10.2  ,  2.7    ,2.50  , 0.07  , 22.1   , 7.68e+04  ,  -104.7   ,    1
 51,  Pal 15  ,   18.87 ,   24.30 ,  41.3  ,  34.2   ,0.60  ,14.45  , 57.5   , 2.74e+04  ,   68.9    ,    1
 52,  NGC 6266,   353.57,   7.32  ,   5.6  ,  3.1    ,1.70  , 0.29  , 14.5   , 8.98e+05  ,  -71.9    ,    1
 53,  NGC 6273,   356.87,   9.38  ,  10.9  ,  2.9    ,1.53  , 1.35  , 45.7   , 1.56e+06  ,  131.0    ,    2
 54,  NGC 6284,   358.35,   9.94  ,  11.8  ,  3.8    ,2.50  , 0.25  , 79.1   , 2.17e+05  ,   27.4    ,    1
 55,  NGC 6287,    0.13 ,   11.02 ,   6.7  ,  2.3    ,1.60  , 0.52  , 20.7   , 1.03e+05  ,  -208.0   ,    2
 56,  NGC 6293,   357.62,   7.83  ,   8.4  ,  1.2    ,2.50  , 0.11  , 34.8   , 2.34e+05  ,  -148.0   ,    1
 57,  NGC 6304,   355.83,   5.38  ,   6.0  ,  2.7    ,1.80  , 0.36  , 22.7   , 1.93e+05  ,  -98.0    ,   10
 58,  NGC 6316,   357.18,   5.76  ,  12.8  ,  4.5    ,1.55  , 0.62  , 22.0   , 1.02e+06  ,   76.0    ,    2
 59,  NGC 6325,    0.97 ,   8.00  ,   6.0  ,  2.7    ,2.50  , 0.05  , 15.8   , 9.57e+04  ,   30.9    ,    1
 60,  NGC 6341,   68.34 ,   34.86 ,   7.5  ,  9.5    ,1.81  , 0.51  , 32.9   , 3.64e+05  ,  -120.5   ,   10
 61,  NGC 6333,    5.54 ,   10.71 ,   7.4  ,  2.0    ,1.15  , 1.26  , 17.8   , 2.89e+05  ,  224.7    ,   10
 62,  NGC 6342,    4.90 ,   9.72  ,  12.1  ,  4.1    ,2.50  , 0.16  , 50.6   , 1.95e+05  ,  117.9    ,    1
 63,  NGC 6356,    6.72 ,   10.22 ,  16.6  ,  8.5    ,1.54  , 1.12  , 38.8   , 8.19e+05  ,   31.6    ,   10
 64,  NGC 6355,   359.58,   5.43  ,   7.0  ,  1.7    ,2.50  , 0.10  , 31.6   , 3.67e+05  ,  -184.0   ,    2
 65,  NGC 6352,   341.42,   -7.17 ,   6.1  ,  3.5    ,1.10  , 1.48  , 18.6   , 1.22e+05  ,  -118.0   ,    2
 66,  NGC 6366,   18.41 ,   16.04 ,   4.0  ,  5.1    ,0.92  , 2.14  , 17.8   , 3.92e+04  ,  -122.6   ,    1
 67,  NGC 6362,   325.56,  -17.57 ,   7.8  ,  5.4    ,1.10  , 2.95  , 37.1   , 1.17e+05  ,  -13.3    ,    1
 68,  NGC 6388,   345.56,   -6.74 ,  11.0  ,  3.7    ,1.70  , 0.40  , 20.0   , 1.50e+06  ,   77.0    ,    2
 69,  NGC 6402,   21.32 ,   14.80 ,  10.1  ,  4.4    ,1.60  , 2.45  , 97.5   , 1.23e+06  ,  -123.4   ,   10
 70,  NGC 6401,    3.45 ,   3.98  ,   6.3  ,  2.3    ,1.69  , 0.45  , 22.0   , 1.23e+06  ,  -62.0    ,    2
 71,  NGC 6397,   338.17,  -11.96 ,   2.2  ,  6.5    ,2.50  , 0.03  ,  9.5   , 1.59e+05  ,   17.7    ,    1
 72,  NGC 6426,   28.09 ,   16.23 ,  17.5  ,  11.3   ,1.70  , 1.35  , 67.7   , 9.49e+04  ,  -162.0   ,    2
 73,  NGC 6440,    7.73 ,   3.80  ,   7.1  ,  1.8    ,1.70  , 0.26  , 13.0   , 5.72e+05  ,  -83.0    ,    2
 74,  NGC 6441,   353.53,   -5.00 ,  10.7  ,  2.5    ,1.85  , 0.35  , 24.8   , 1.30e+06  ,   16.0    ,    1
 75,  NGC 6453,   355.72,   -3.87 ,  10.1  ,  1.8    ,2.50  , 0.20  , 63.2   , 1.32e+05  ,  -84.0    ,    2
 76,  NGC 6496,   348.02,  -10.01 ,   5.8  ,  3.3    ,0.70  , 1.74  ,  8.7   , 4.63e+04  ,  -95.0    ,    2
 77,  NGC 6517,   19.23 ,   6.76  ,   6.1  ,  3.5    ,1.82  , 0.11  ,  7.3   , 1.82e+05  ,  -37.0    ,    2
 78,  NGC 6522,    1.02 ,   -3.93 ,   7.2  ,  1.4    ,2.50  , 0.11  , 34.8   , 5.93e+04  ,  -10.4    ,    1
 79,  NGC 6535,   27.18 ,   10.44 ,   7.0  ,  4.1    ,1.30  , 0.83  , 16.6   , 5.93e+04  ,  -215.3   ,    1
 80,  NGC 6528,    1.14 ,   -4.17 ,   6.6  ,  2.0    ,2.29  , 0.17  , 33.1   , 9.31e+04  ,  160.0    ,    2
 81,  NGC 6539,   20.80 ,   6.78  ,   4.0  ,  5.0    ,1.60  , 0.63  , 25.1   , 1.60e+05  ,  -52.0    ,    2
 82,  NGC 6544,    5.84 ,   -2.20 ,   2.6  ,  5.9    ,2.50  , 0.03  ,  9.5   , 1.30e+05  ,  -12.0    ,   10
 83,  NGC 6541,   349.29,  -11.18 ,   6.7  ,  2.7    ,2.00  , 0.58  , 58.0   , 4.67e+05  ,  -152.8   ,   10
 84,  NGC 6553,    5.25 ,   -3.02 ,   3.6  ,  4.9    ,1.17  , 0.56  ,  8.3   , 2.61e+05  ,  -24.0    ,    2
 85,  NGC 6558,    0.20 ,   -6.03 ,   8.9  ,  1.0    ,2.50  , 0.09  , 28.5   , 2.41e+05  ,  -198.9   ,    1
 86,  NGC 6569,    0.48 ,   -6.68 ,   8.8  ,  1.0    ,1.27  , 0.95  , 17.7   , 3.85e+05  ,  -26.0    ,    2
 87,  NGC 6584,   342.14,  -16.41 ,   9.5  ,  3.9    ,1.20  , 1.66  , 26.3   , 2.19e+05  ,  180.0    ,   10
 88,  NGC 6624,    2.79 ,   -7.91 ,   8.1  ,  1.3    ,2.50  , 0.15  , 47.4   , 3.32e+05  ,   54.2    ,    1
 89,  NGC 6626,    7.80 ,   -5.58 ,   6.0  ,  2.8    ,1.67  , 0.42  , 19.6   , 4.42e+05  ,   15.5    ,    1
 90,  NGC 6638,    7.90 ,   -7.15 ,   8.4  ,  1.6    ,1.40  , 0.65  , 16.3   , 1.12e+05  ,  -14.0    ,   10
 91,  NGC 6637,    1.72 ,  -10.27 ,  10.2  ,  2.4    ,1.39  , 1.00  , 24.5   , 3.44e+05  ,   50.1    ,   10
 92,  NGC 6642,    9.81 ,   -6.44 ,   7.9  ,  1.8    ,1.99  , 0.24  , 23.5   , 1.26e+05  ,  -47.0    ,    2
 93,  NGC 6652,    1.53 ,  -11.38 ,  14.3  ,  6.2    ,1.80  , 0.30  , 18.9   , 2.59e+05  ,  -124.2   ,   10
 94,  NGC 6656,    9.89 ,   -7.55 ,   3.0  ,  5.6    ,1.31  , 1.23  , 25.1   , 5.36e+05  ,  -148.8   ,   11
 95,  Pal 8   ,   14.11 ,   -6.80 ,  28.6  ,  20.6   ,0.75  , 3.31  , 18.6   , 2.21e+05  ,  -38.0    ,   12
 96,  NGC 6681,    2.85 ,  -12.51 ,   9.2  ,  2.1    ,2.50  , 0.07  , 22.1   , 1.89e+05  ,  221.1    ,    1
 97,  NGC 6712,   25.35 ,   -4.32 ,   6.8  ,  3.8    ,0.90  , 1.86  , 14.8   , 2.45e+05  ,  -107.5   ,    1
 98,  NGC 6715,    5.61 ,  -14.09 ,  21.1  ,  13.1   ,1.84  , 0.66  , 45.7   , 1.45e+06  ,  142.0    ,    5
 99,  NGC 6717,   12.88 ,  -10.90 ,   7.3  ,  2.6    ,2.07  , 0.18  , 21.1   , 1.23e+05  ,   -6.0    ,    2
100,  NGC 6723,    0.07 ,  -17.30 ,   8.6  ,  2.6    ,1.05  , 2.40  , 26.9   , 3.74e+05  ,  -79.0    ,    2
101,  NGC 6752,   336.50,  -25.63 ,   4.2  ,  5.5    ,2.50  , 0.21  , 66.4   , 3.64e+05  ,  -32.1    ,    1
102,  NGC 6760,   36.11 ,   -3.92 ,   6.1  ,  5.1    ,1.59  , 0.59  , 23.0   , 1.38e+05  ,  -28.0    ,    2
103,  Terzan 7,    3.39 ,  -20.07 ,  36.7  ,  28.9   ,1.08  , 6.46  , 77.7   , 6.15e+04  ,  162.0    ,   13
104,  NGC 6779,   62.66 ,   8.34  ,   9.7  ,  9.6    ,1.37  , 1.05  , 24.6   , 1.89e+05  ,  -135.9   ,    1
105,  Arp 2   ,    8.55 ,  -20.79 ,  28.2  ,  20.6   ,0.90  ,13.18  , 104.7  , 3.26e+04  ,  119.0    ,   13
106,  NGC 6809,    8.79 ,  -23.27 ,   4.8  ,  4.6    ,0.76  , 3.98  , 22.9   , 2.41e+05  ,  175.5    ,    1
107,  Terzan8 ,    5.76 ,  -24.56 ,  23.0  ,  15.7   ,0.60  , 6.61  , 26.3   , 2.50e+04  ,  130.0    ,   13
108,  Pal 11  ,   31.80 ,  -15.58 ,  13.2  ,  7.9    ,0.69  , 7.76  , 38.0   , 1.38e+05  ,  -68.0    ,   10
109,  NGC 6838,   56.74 ,   -4.56 ,   3.9  ,  7.2    ,1.15  , 0.72  , 10.2   , 3.67e+04  ,  -23.0    ,    1
110,  NGC 6864,   20.30 ,  -25.75 ,  18.7  ,  12.4   ,1.88  , 0.51  , 38.7   , 4.89e+05  ,  -195.2   ,   10
111,  NGC 6934,   52.10 ,  -18.89 ,  14.8  ,  12.0   ,1.53  , 1.07  , 36.3   , 2.15e+05  ,  -412.2   ,    1
112,  NGC 6981,   35.16 ,  -32.68 ,  18.1  ,  13.7   ,1.23  , 2.82  , 47.9   , 1.81e+05  ,  -309.0   ,    2
113,  NGC 7006,   63.77 ,  -19.41 ,  38.8  ,  36.1   ,1.42  , 2.75  , 72.3   , 2.52e+05  ,  -364.0   ,    2
114,  NGC 7078,   65.01 ,  -27.31 ,  10.4  ,  10.7   ,2.50  , 0.21  , 66.4   , 9.84e+05  ,  -107.1   ,   14
115,  NGC 7089,   53.38 ,  -35.78 ,  11.8  ,  10.7   ,1.80  , 1.17  , 73.8   , 8.81e+05  ,   -3.1    ,    1
116,  NGC 7099,   27.18 ,  -46.84 ,   7.4  ,  7.1    ,2.50  , 0.12  , 37.9   , 2.74e+05  ,  -185.7   ,    1
117,  Pal 12  ,   30.51 ,  -47.68 ,  19.1  ,  15.8   ,0.90  , 6.17  , 49.0   , 2.02e+04  ,   28.5    ,   15
118,  Pal 13  ,   87.10 ,  -42.70 ,  24.5  ,  25.6   ,1.00  , 2.82  , 28.2   , 5.12e+03  ,   13.0    ,   16
119,  NGC 7492,   53.39 ,  -63.48 ,  25.0  ,  24.2   ,1.00  , 6.17  , 61.7   , 5.56e+04  ,  -188.5   ,   10
